E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.092,-0.32,0.092,-0.32,0.088,-0.584,0.088,-0.604,0.068,-1.713,0.068,-1.704,0.068,-2.356,0.068,-2.4,0.068,-3.052,0.068,-3.118,0.068,-5.296,0.068,-5.737
0.092,-0.287,0.092,-0.32,0.088,-0.604,0.088,-0.615,0.067,-1.742,0.067,-1.735,0.067,-2.405,0.067,-2.448,0.067,-3.103,0.067,-3.173,0.067,-5.405,0.067,-5.814
0.091,-0.296,0.091,-0.322,0.087,-0.584,0.087,-0.615,0.066,-1.747,0.066,-1.727,0.066,-2.402,0.066,-2.448,0.066,-3.113,0.066,-3.181,0.066,-5.457,0.066,-5.834
0.091,-0.297,0.091,-0.316,0.087,-0.587,0.087,-0.633,0.065,-1.751,0.065,-1.731,0.065,-2.414,0.065,-2.452,0.065,-3.132,0.065,-3.196,0.065,-5.521,0.065,-5.877
0.091,-0.307,0.091,-0.322,0.086,-0.592,0.086,-0.612,0.064,-1.759,0.064,-1.747,0.064,-2.432,0.064,-2.463,0.064,-3.146,0.064,-3.216,0.064,-5.57,0.064,-5.905
0.091,-0.299,0.091,-0.331,0.086,-0.616,0.086,-0.636,0.063,-1.771,0.063,-1.762,0.063,-2.448,0.063,-2.481,0.063,-3.168,0.063,-3.233,0.063,-5.638,0.063,-5.949
0.09,-0.313,0.09,-0.328,0.086,-0.593,0.086,-0.624,0.062,-1.777,0.062,-1.768,0.062,-2.46,0.062,-2.488,0.062,-3.192,0.062,-3.251,0.062,-5.687,0.062,-5.975
0.09,-0.296,0.09,-0.317,0.085,-0.59,0.085,-0.62,0.061,-1.793,0.061,-1.781,0.061,-2.475,0.061,-2.507,0.061,-3.213,0.061,-3.268,0.061,-5.747,0.061,-6.02
0.09,-0.302,0.09,-0.328,0.085,-0.6,0.085,-0.626,0.06,-1.636,0.06,-1.616,0.06,-2.327,0.06,-2.365,0.06,-3.121,0.06,-3.156,0.06,-5.731,0.06,-5.986
0.09,-0.305,0.09,-0.331,0.085,-0.607,0.085,-0.636,0.061,-1.184,0.061,-1.121,0.061,-1.853,0.061,-1.874,0.061,-2.722,0.061,-2.748,0.061,-5.532,0.061,-5.762
0.089,-0.31,0.089,-0.324,0.084,-0.6,0.084,-0.632,0.062,-0.666,0.062,-0.581,0.062,-1.267,0.062,-1.273,0.062,-2.19,0.062,-2.207,0.062,-5.204,0.062,-5.397
0.089,-0.301,0.089,-0.314,0.084,-0.61,0.084,-0.63,0.063,-0.175,0.063,-0.084,0.063,-0.658,0.063,-0.666,0.063,-1.592,0.063,-1.589,0.063,-4.75,0.063,-4.931
0.089,-0.311,0.089,-0.342,0.084,-0.597,0.084,-0.636,0.064,0.226,0.064,0.325,0.064,-0.115,0.064,-0.118,0.064,-1.006,0.064,-0.989,0.064,-4.256,0.064,-4.402
0.089,-0.296,0.089,-0.328,0.083,-0.65,0.083,-0.664,0.065,0.557,0.065,0.643,0.065,0.364,0.065,0.368,0.065,-0.437,0.065,-0.409,0.065,-3.713,0.065,-3.834
0.088,-0.304,0.088,-0.305,0.083,-0.623,0.083,-0.643,0.066,0.807,0.066,0.888,0.066,0.772,0.066,0.758,0.066,0.065,0.066,0.097,0.066,-3.152,0.066,-3.254
0.088,-0.307,0.088,-0.324,0.082,-0.606,0.082,-0.647,0.067,1.023,0.067,1.095,0.067,1.13,0.067,1.126,0.067,0.577,0.067,0.598,0.067,-2.54,0.067,-2.629
0.088,-0.307,0.088,-0.331,0.082,-0.586,0.082,-0.638,0.068,1.158,0.068,1.215,0.068,1.393,0.068,1.385,0.068,0.971,0.068,0.988,0.068,-1.98,0.068,-2.044
0.088,-0.305,0.088,-0.334,0.082,-0.643,0.082,-0.661,0.069,1.253,0.069,1.307,0.069,1.609,0.069,1.591,0.069,1.33,0.069,1.342,0.069,-1.417,0.069,-1.474
0.087,-0.311,0.087,-0.333,0.081,-0.627,0.081,-0.646,0.07,1.33,0.07,1.362,0.07,1.768,0.07,1.747,0.07,1.624,0.07,1.632,0.07,-0.88,0.07,-0.912
0.087,-0.308,0.087,-0.328,0.081,-0.615,0.081,-0.638,0.071,1.379,0.071,1.403,0.071,1.902,0.071,1.883,0.071,1.897,0.071,1.896,0.071,-0.337,0.071,-0.383
0.087,-0.333,0.087,-0.343,0.081,-0.63,0.081,-0.639,0.072,1.402,0.072,1.426,0.072,2.005,0.072,1.966,0.072,2.1,0.072,2.094,0.072,0.157,0.072,0.114
0.087,-0.311,0.087,-0.339,0.08,-0.641,0.08,-0.669,0.073,1.426,0.073,1.446,0.073,2.077,0.073,2.038,0.073,2.285,0.073,2.27,0.073,0.623,0.073,0.6
0.086,-0.322,0.086,-0.334,0.08,-0.612,0.08,-0.649,0.074,1.437,0.074,1.451,0.074,2.127,0.074,2.094,0.074,2.428,0.074,2.399,0.074,1.069,0.074,1.037
0.086,-0.317,0.086,-0.325,0.079,-0.63,0.079,-0.65,0.075,1.456,0.075,1.472,0.075,2.184,0.075,2.14,0.075,2.564,0.075,2.54,0.075,1.509,0.075,1.477
0.086,-0.319,0.086,-0.334,0.079,-0.636,0.079,-0.664,0.076,1.448,0.076,1.46,0.076,2.202,0.076,2.156,0.076,2.647,0.076,2.626,0.076,1.89,0.076,1.871
0.086,-0.322,0.086,-0.336,0.079,-0.633,0.079,-0.659,0.077,1.453,0.077,1.465,0.077,2.216,0.077,2.172,0.077,2.732,0.077,2.701,0.077,2.259,0.077,2.236
0.086,-0.316,0.086,-0.336,0.078,-0.632,0.078,-0.658,0.078,1.448,0.078,1.453,0.078,2.219,0.078,2.178,0.078,2.775,0.078,2.752,0.078,2.587,0.078,2.569
0.085,-0.314,0.085,-0.334,0.078,-0.636,0.078,-0.65,0.079,1.449,0.079,1.454,0.079,2.232,0.079,2.195,0.079,2.839,0.079,2.802,0.079,2.914,0.079,2.88
0.085,-0.325,0.085,-0.35,0.077,-0.624,0.077,-0.655,0.08,1.44,0.08,1.446,0.08,2.224,0.08,2.189,0.08,2.87,0.08,2.828,0.08,3.187,0.08,3.161
0.085,-0.317,0.085,-0.334,0.077,-0.666,0.077,-0.693,0.081,1.431,0.081,1.433,0.081,2.23,0.081,2.187,0.081,2.897,0.081,2.856,0.081,3.457,0.081,3.436
0.085,-0.322,0.085,-0.337,0.077,-0.659,0.077,-0.661,0.082,1.423,0.082,1.422,0.082,2.209,0.082,2.184,0.082,2.909,0.082,2.87,0.082,3.69,0.082,3.661
0.084,-0.319,0.084,-0.334,0.076,-0.644,0.076,-0.652,0.083,1.426,0.083,1.436,0.083,2.218,0.083,2.195,0.083,2.945,0.083,2.9,0.083,3.936,0.083,3.89
0.084,-0.331,0.084,-0.34,0.076,-0.65,0.076,-0.682,0.084,1.411,0.084,1.419,0.084,2.204,0.084,2.167,0.084,2.942,0.084,2.883,0.084,4.123,0.084,4.09
0.084,-0.316,0.084,-0.34,0.076,-0.659,0.076,-0.682,0.085,1.413,0.085,1.408,0.085,2.195,0.085,2.161,0.085,2.946,0.085,2.897,0.085,4.296,0.085,4.264
0.084,-0.313,0.084,-0.325,0.075,-0.647,0.075,-0.672,0.086,1.394,0.086,1.396,0.086,2.175,0.086,2.141,0.086,2.943,0.086,2.876,0.086,4.451,0.086,4.408
0.083,-0.317,0.083,-0.345,0.075,-0.659,0.075,-0.678,0.087,1.39,0.087,1.393,0.087,2.172,0.087,2.133,0.087,2.942,0.087,2.883,0.087,4.598,0.087,4.551
0.083,-0.345,0.083,-0.37,0.074,-0.666,0.074,-0.675,0.088,1.38,0.088,1.377,0.088,2.161,0.088,2.115,0.088,2.928,0.088,2.867,0.088,4.718,0.088,4.667
0.083,-0.328,0.083,-0.353,0.074,-0.682,0.074,-0.701,0.089,1.37,0.089,1.368,0.089,2.13,0.089,2.101,0.089,2.923,0.089,2.859,0.089,4.83,0.089,4.776
0.083,-0.334,0.083,-0.343,0.074,-0.658,0.074,-0.666,0.09,1.36,0.09,1.36,0.09,2.115,0.09,2.081,0.09,2.891,0.09,2.836,0.09,4.92,0.09,4.868
0.082,-0.324,0.082,-0.347,0.073,-0.658,0.073,-0.695,0.091,1.359,0.091,1.368,0.091,2.12,0.091,2.084,0.091,2.886,0.091,2.833,0.091,5.026,0.091,4.968
0.082,-0.339,0.082,-0.345,0.073,-0.664,0.073,-0.701,0.092,1.347,0.092,1.351,0.092,2.092,0.092,2.051,0.092,2.867,0.092,2.807,0.092,5.089,0.092,5.035
0.082,-0.32,0.082,-0.345,0.073,-0.669,0.073,-0.69,0.093,1.328,0.093,1.344,0.093,2.086,0.093,2.046,0.093,2.856,0.093,2.793,0.093,5.146,0.093,5.097
0.082,-0.319,0.082,-0.34,0.072,-0.664,0.072,-0.681,0.094,1.33,0.094,1.325,0.094,2.063,0.094,2.034,0.094,2.813,0.094,2.77,0.094,5.196,0.094,5.138
0.081,-0.32,0.081,-0.331,0.072,-0.675,0.072,-0.672,0.095,1.33,0.095,1.325,0.095,2.051,0.095,2.029,0.095,2.807,0.095,2.761,0.095,5.251,0.095,5.19
0.081,-0.317,0.081,-0.34,0.071,-0.656,0.071,-0.699,0.096,1.313,0.096,1.307,0.096,2.032,0.096,2.002,0.096,2.778,0.096,2.738,0.096,5.285,0.096,5.218
0.081,-0.319,0.081,-0.353,0.071,-0.698,0.071,-0.705,0.097,1.307,0.097,1.307,0.097,2.02,0.097,1.986,0.097,2.761,0.097,2.718,0.097,5.307,0.097,5.247
0.081,-0.328,0.081,-0.35,0.071,-0.682,0.071,-0.695,0.098,1.298,0.098,1.287,0.098,1.994,0.098,1.972,0.098,2.729,0.098,2.692,0.098,5.319,0.098,5.258
0.08,-0.328,0.08,-0.348,0.07,-0.675,0.07,-0.699,0.099,1.298,0.099,1.302,0.099,2.005,0.099,1.974,0.099,2.738,0.099,2.701,0.099,5.366,0.099,5.301
0.08,-0.34,0.08,-0.354,0.07,-0.678,0.07,-0.696,0.1,1.278,0.1,1.275,0.1,1.979,0.1,1.951,0.1,2.709,0.1,2.669,0.1,5.36,0.1,5.293
0.08,-0.334,0.08,-0.345,0.07,-0.679,0.07,-0.696,0.101,1.276,0.101,1.272,0.101,1.949,0.101,1.923,0.101,2.673,0.101,2.647,0.101,5.365,0.101,5.302
0.08,-0.347,0.08,-0.356,0.069,-0.684,0.069,-0.704,0.102,1.259,0.102,1.252,0.102,1.931,0.102,1.911,0.102,2.647,0.102,2.609,0.102,5.359,0.102,5.282
0.079,-0.334,0.079,-0.347,0.069,-0.705,0.069,-0.705,0.103,1.258,0.103,1.252,0.103,1.923,0.103,1.903,0.103,2.643,0.103,2.601,0.103,5.359,0.103,5.282
0.079,-0.353,0.079,-0.366,0.069,-0.687,0.069,-0.704,0.104,1.244,0.104,1.232,0.104,1.894,0.104,1.88,0.104,2.604,0.104,2.563,0.104,5.339,0.104,5.262
0.079,-0.334,0.079,-0.357,0.068,-0.693,0.068,-0.712,0.105,1.235,0.105,1.233,0.105,1.893,0.105,1.868,0.105,2.591,0.105,2.554,0.105,5.32,0.105,5.25
0.079,-0.34,0.079,-0.362,0.068,-0.682,0.068,-0.698,0.106,1.224,0.106,1.215,0.106,1.868,0.106,1.844,0.106,2.563,0.106,2.526,0.106,5.288,0.106,5.224
0.078,-0.331,0.078,-0.342,0.067,-0.693,0.067,-0.721,0.107,1.218,0.107,1.218,0.107,1.864,0.107,1.845,0.107,2.558,0.107,2.521,0.107,5.296,0.107,5.213
0.078,-0.342,0.078,-0.359,0.067,-0.719,0.067,-0.751,0.108,1.209,0.108,1.199,0.108,1.847,0.108,1.811,0.108,2.535,0.108,2.488,0.108,5.262,0.108,5.19
0.078,-0.336,0.078,-0.353,0.067,-0.702,0.067,-0.745,0.109,1.201,0.109,1.199,0.109,1.83,0.109,1.802,0.109,2.511,0.109,2.469,0.109,5.244,0.109,5.166
0.077,-0.34,0.077,-0.366,0.066,-0.696,0.066,-0.722,0.11,1.19,0.11,1.183,0.11,1.801,0.11,1.782,0.11,2.48,0.11,2.443,0.11,5.205,0.11,5.112
0.077,-0.347,0.077,-0.35,0.066,-0.707,0.066,-0.728,0.111,1.183,0.111,1.183,0.111,1.799,0.111,1.77,0.111,2.472,0.111,2.431,0.111,5.179,0.111,5.095
0.077,-0.339,0.077,-0.368,0.066,-0.69,0.066,-0.716,0.112,1.172,0.112,1.167,0.112,1.772,0.112,1.753,0.112,2.436,0.112,2.399,0.112,5.135,0.112,5.058
0.077,-0.347,0.077,-0.362,0.065,-0.731,0.065,-0.751,0.113,1.158,0.113,1.158,0.113,1.761,0.113,1.738,0.113,2.422,0.113,2.382,0.113,5.106,0.113,5.035
0.076,-0.35,0.076,-0.348,0.065,-0.708,0.065,-0.721,0.114,1.157,0.114,1.147,0.114,1.739,0.114,1.722,0.114,2.387,0.114,2.357,0.114,5.067,0.114,4.992
0.076,-0.331,0.076,-0.363,0.064,-0.698,0.064,-0.725,0.115,1.16,0.115,1.157,0.115,1.742,0.115,1.729,0.115,2.379,0.115,2.356,0.115,5.058,0.115,4.98
0.076,-0.354,0.076,-0.365,0.064,-0.707,0.064,-0.718,0.116,1.144,0.116,1.135,0.116,1.715,0.116,1.699,0.116,2.353,0.116,2.324,0.116,5.012,0.116,4.937
0.076,-0.34,0.076,-0.36,0.064,-0.721,0.064,-0.73,0.117,1.143,0.117,1.13,0.117,1.702,0.117,1.681,0.117,2.333,0.117,2.31,0.117,4.968,0.117,4.917
0.075,-0.34,0.075,-0.371,0.063,-0.715,0.063,-0.715,0.118,1.12,0.118,1.115,0.118,1.684,0.118,1.666,0.118,2.299,0.118,2.273,0.118,4.919,0.118,4.834
0.075,-0.337,0.075,-0.365,0.063,-0.722,0.063,-0.739,0.119,1.115,0.119,1.109,0.119,1.667,0.119,1.653,0.119,2.278,0.119,2.258,0.119,4.888,0.119,4.816
0.075,-0.365,0.075,-0.386,0.063,-0.728,0.063,-0.71,0.12,1.104,0.12,1.094,0.12,1.65,0.12,1.627,0.12,2.256,0.12,2.23,0.12,4.834,0.12,4.765
0.075,-0.343,0.075,-0.371,0.062,-0.73,0.062,-0.738,0.121,1.094,0.121,1.092,0.121,1.635,0.121,1.62,0.121,2.238,0.121,2.213,0.121,4.797,0.121,4.733
0.074,-0.36,0.074,-0.373,0.062,-0.702,0.062,-0.742,0.122,1.087,0.122,1.074,0.122,1.614,0.122,1.595,0.122,2.196,0.122,2.189,0.122,4.748,0.122,4.679
0.074,-0.348,0.074,-0.371,0.061,-0.718,0.061,-0.736,0.123,1.081,0.123,1.078,0.123,1.61,0.123,1.594,0.123,2.196,0.123,2.178,0.123,4.712,0.123,4.656
0.074,-0.353,0.074,-0.365,0.061,-0.722,0.061,-0.748,0.124,1.064,0.124,1.066,0.124,1.589,0.124,1.572,0.124,2.163,0.124,2.147,0.124,4.67,0.124,4.61
0.074,-0.353,0.074,-0.366,0.061,-0.725,0.061,-0.764,0.125,1.06,0.125,1.06,0.125,1.569,0.125,1.557,0.125,2.15,0.125,2.127,0.125,4.621,0.125,4.57
0.073,-0.345,0.073,-0.365,0.06,-0.721,0.06,-0.731,0.126,1.052,0.126,1.041,0.126,1.555,0.126,1.531,0.126,2.117,0.126,2.101,0.126,4.575,0.126,4.52
0.073,-0.353,0.073,-0.37,0.06,-0.661,0.06,-0.661,0.127,1.052,0.127,1.043,0.127,1.54,0.127,1.528,0.127,2.106,0.127,2.08,0.127,4.544,0.127,4.482
0.073,-0.365,0.073,-0.377,0.06,-0.449,0.06,-0.445,0.128,1.037,0.128,1.031,0.128,1.525,0.128,1.511,0.128,2.074,0.128,2.063,0.128,4.488,0.128,4.439
0.073,-0.36,0.073,-0.37,0.061,-0.231,0.061,-0.224,0.129,1.034,0.129,1.028,0.129,1.511,0.129,1.497,0.129,2.058,0.129,2.031,0.129,4.442,0.129,4.4
0.072,-0.354,0.072,-0.37,0.061,-0.009,0.061,-0.005,0.13,1.025,0.13,1.009,0.13,1.491,0.13,1.477,0.13,2.032,0.13,2.012,0.13,4.391,0.13,4.348
0.072,-0.345,0.072,-0.363,0.061,0.149,0.061,0.13,0.131,1.026,0.131,1.022,0.131,1.492,0.131,1.491,0.131,2.041,0.131,2.041,0.131,4.382,0.131,4.345
0.072,-0.37,0.072,-0.371,0.062,0.279,0.062,0.278,0.132,1.011,0.132,1.006,0.132,1.476,0.132,1.456,0.132,2,0.132,1.977,0.132,4.324,0.132,4.284
0.072,-0.357,0.072,-0.363,0.062,0.362,0.062,0.364,0.133,1,0.133,0.992,0.133,1.46,0.133,1.445,0.133,1.983,0.133,1.965,0.133,4.274,0.133,4.238
0.071,-0.365,0.071,-0.379,0.063,0.433,0.063,0.411,0.134,0.994,0.134,0.98,0.134,1.429,0.134,1.428,0.134,1.956,0.134,1.934,0.134,4.221,0.134,4.178
0.071,-0.348,0.071,-0.366,0.063,0.503,0.063,0.48,0.135,0.986,0.135,0.98,0.135,1.425,0.135,1.414,0.135,1.942,0.135,1.919,0.135,4.182,0.135,4.146
0.071,-0.345,0.071,-0.371,0.063,0.525,0.063,0.518,0.136,0.965,0.136,0.972,0.136,1.403,0.136,1.387,0.136,1.916,0.136,1.888,0.136,4.13,0.136,4.095
0.071,-0.377,0.071,-0.38,0.064,0.531,0.064,0.535,0.137,0.969,0.137,0.956,0.137,1.39,0.137,1.38,0.137,1.893,0.137,1.873,0.137,4.084,0.137,4.054
0.07,-0.371,0.07,-0.38,0.064,0.572,0.064,0.552,0.138,0.956,0.138,0.953,0.138,1.376,0.138,1.364,0.138,1.856,0.138,1.848,0.138,4.031,0.138,3.997
0.07,-0.356,0.07,-0.373,0.064,0.578,0.064,0.563,0.139,0.96,0.139,0.954,0.139,1.374,0.139,1.36,0.139,1.859,0.139,1.847,0.139,4.003,0.139,3.972
0.07,-0.371,0.07,-0.38,0.065,0.6,0.065,0.584,0.14,0.945,0.14,0.94,0.14,1.347,0.14,1.339,0.14,1.824,0.14,1.816,0.14,3.948,0.14,3.917
0.07,-0.36,0.07,-0.379,0.065,0.58,0.065,0.583,0.141,0.946,0.141,0.937,0.141,1.337,0.141,1.321,0.141,1.818,0.141,1.799,0.141,3.903,0.141,3.888
0.07,-0.376,0.07,-0.377,0.066,0.592,0.066,0.574,0.142,0.928,0.142,0.922,0.142,1.321,0.142,1.305,0.142,1.779,0.142,1.773,0.142,3.848,0.142,3.833
0.069,-0.357,0.069,-0.371,0.066,0.606,0.066,0.58,0.143,0.936,0.143,0.922,0.143,1.31,0.143,1.301,0.143,1.77,0.143,1.759,0.143,3.821,0.143,3.791
0.069,-0.374,0.069,-0.382,0.066,0.597,0.066,0.591,0.144,0.92,0.144,0.916,0.144,1.291,0.144,1.278,0.144,1.756,0.144,1.736,0.144,3.761,0.144,3.745
0.069,-0.371,0.069,-0.383,0.067,0.583,0.067,0.578,0.145,0.92,0.145,0.903,0.145,1.285,0.145,1.276,0.145,1.729,0.145,1.718,0.145,3.725,0.145,3.701
0.069,-0.379,0.069,-0.374,0.067,0.624,0.067,0.617,0.146,0.911,0.146,0.903,0.146,1.267,0.146,1.258,0.146,1.707,0.146,1.698,0.146,3.676,0.146,3.653
0.068,-0.365,0.068,-0.374,0.067,0.604,0.067,0.601,0.147,0.91,0.147,0.905,0.147,1.273,0.147,1.262,0.147,1.712,0.147,1.696,0.147,3.661,0.147,3.643
0.068,-0.37,0.068,-0.396,0.068,0.624,0.068,0.609,0.148,0.907,0.148,0.894,0.148,1.25,0.148,1.244,0.148,1.679,0.148,1.67,0.148,3.612,0.148,3.594
0.068,-0.37,0.068,-0.382,0.068,0.604,0.068,0.592,0.149,0.899,0.149,0.89,0.149,1.23,0.149,1.229,0.149,1.666,0.149,1.66,0.149,3.569,0.149,3.557
0.068,-0.377,0.068,-0.377,0.069,0.594,0.069,0.575,0.15,0.893,0.15,0.88,0.15,1.216,0.15,1.206,0.15,1.63,0.15,1.627,0.15,3.523,0.15,3.506
0.067,-0.362,0.067,-0.373,0.069,0.6,0.069,0.589,0.151,0.894,0.151,0.88,0.151,1.209,0.151,1.207,0.151,1.627,0.151,1.621,0.151,3.5,0.151,3.471
0.067,-0.396,0.067,-0.428,0.069,0.601,0.069,0.591,0.152,0.883,0.152,0.88,0.152,1.195,0.152,1.187,0.152,1.601,0.152,1.592,0.152,3.451,0.152,3.426
0.067,-0.383,0.067,-0.4,0.07,0.592,0.07,0.561,0.153,0.885,0.153,0.867,0.153,1.187,0.153,1.175,0.153,1.6,0.153,1.584,0.153,3.411,0.153,3.391
